areacd,origin,destination,nomove,within,fromout,toout,to1cd,to1,to2cd,to2,to3cd,to3,from1cd,from1,from2cd,from2,from3cd,from3
E07000076,58282,51428,24961,20691,0,178,E07000071,6731,E07000067,774,E07000202,736,E07000071,3329,E07000067,543,E07000200,497
E07000077,45740,49449,24882,9064,0,98,E07000242,2465,E07000067,1051,E07000073,1037,E07000067,3584,E07000242,2888,E07000073,1042
E07000078,59172,62293,28815,18426,0,144,E07000083,3776,E07000081,2977,E07000079,1232,E07000083,5908,E07000081,3335,E07000082,1245
E07000079,44094,46903,23432,11232,0,145,E07000181,1249,E06000030,1113,E07000078,1019,E07000082,1803,E06000030,1763,E06000054,1366
E07000080,39991,34516,18188,11048,0,62,E07000081,2847,E06000019,1526,E07000083,1228,E07000081,1126,E06000019,1004,W06000021,765
E07000081,65612,65600,25248,22431,0,154,E07000083,4950,E07000082,4820,E07000078,3335,E07000083,4360,E07000082,3749,E07000078,2977
E07000082,59912,58147,29502,17280,0,134,E07000081,3749,E06000025,1886,E07000079,1803,E07000081,4820,E06000025,1143,E07000079,1011
E07000083,46529,46930,21485,9367,0,110,E07000078,5908,E07000081,4360,E07000079,944,E07000081,4950,E07000078,3776,E07000238,1306
E07000084,96982,91622,49901,28628,0,221,E06000037,5361,E07000089,1987,E07000094,1155,E07000093,1729,E06000037,1608,E07000089,1504
E07000085,61727,58354,32548,13285,0,184,E07000216,3113,E07000090,1461,E06000044,1460,E07000090,2888,E06000044,1793,E07000094,1191
E07000086,69523,65945,34980,12896,0,171,E06000045,6884,E07000094,5706,E07000093,1999,E06000045,8868,E07000093,1926,E07000087,1631
E07000087,55632,56292,27119,11026,0,247,E06000044,4730,E07000094,2957,E07000088,1997,E07000088,5461,E06000044,3230,E07000086,1625
E07000088,38475,30041,15117,9346,0,247,E07000087,5461,E06000044,3745,E07000094,1059,E07000087,1997,E06000044,1122,E07000090,398
E07000089,50450,47578,28587,7721,0,99,E07000092,2529,E07000214,1969,E07000084,1504,E07000092,2480,E07000084,1987,E07000214,672
E07000090,56370,48833,25020,12457,0,168,E06000044,7512,E07000085,2888,E07000225,2403,E06000044,4949,E07000085,1461,E07000087,1129
E07000091,78700,79598,36630,25178,0,280,E06000045,4956,E06000058,3323,E06000059,1788,E06000058,4961,E06000045,4302,E06000059,3022
E07000092,53008,46144,22958,10801,0,121,E07000214,4005,E07000209,2866,E07000089,2480,E07000089,2529,E07000214,1516,E07000209,1349
E07000093,65877,64187,33867,15211,0,174,E06000045,3175,E07000094,2668,E06000054,1975,E06000045,4275,E06000054,3162,E07000086,1999
E07000094,60583,71901,33264,13293,0,224,E06000045,1617,E07000086,1587,E06000044,1481,E07000086,5706,E06000045,3550,E07000087,2957
E07000095,48303,42088,23135,7917,0,87,E09000010,4139,E07000242,2359,E07000072,1174,E07000242,2329,E09000010,1578,E07000073,1222
E07000096,77215,75236,41861,17325,0,145,E07000240,2756,E06000060,2242,E07000103,2090,E06000060,3084,E06000056,2223,E06000032,2148
E07000098,52770,54700,28798,7107,0,154,E09000003,2904,E07000103,1506,E07000240,1315,E09000003,2303,E07000103,1921,E07000241,1401
E07000099,67156,65665,36758,13776,0,111,E07000243,3841,E07000241,1777,E07000012,1308,E06000056,4567,E07000243,2899,E07000012,1251
E07000102,46945,44079,26326,4931,0,130,E07000103,3225,E09000017,1552,E07000098,1219,E07000103,2566,E07000096,1411,E06000060,1223
E07000103,52861,53987,26083,10830,0,144,E07000102,2566,E07000098,1921,E07000096,1225,E07000102,3225,E07000096,2090,E09000015,1655
E07000105,63614,63312,29303,22029,0,242,E07000110,2344,E07000112,1966,E07000106,1334,E07000112,3588,E07000110,1524,E07000106,1465
E07000106,66160,69053,29996,23966,0,304,E07000114,2143,E07000113,1948,E07000108,1497,E07000108,4132,E07000114,4006,E07000113,2129
E07000107,58821,62594,28067,11047,0,121,E09000004,4252,E09000011,1746,E07000109,1721,E07000109,5316,E09000004,4257,E06000035,3442
E07000108,50923,44710,20759,16692,0,772,E07000106,4132,E07000112,3246,E07000114,1975,E07000114,2458,E07000112,1937,E07000106,1497
E07000109,49766,40900,22447,9505,0,145,E07000107,5316,E06000035,2207,E09000004,1510,E06000035,3049,E07000107,1721,E07000115,488
E07000110,86426,84469,41890,22380,0,232,E07000115,6024,E06000035,2989,E07000116,2751,E06000035,5462,E07000115,3724,E07000113,2362
